,student_id,internship_id,record_id,tag,FS,PE,RC,order_1,order_2,ped_ambu,specialty,step_5,step_2,ecn_item,skill,step_PEC_TTT,step_diag,step_autre
0,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1eddd3e3-68f7-683e-afb1-37d1566b753d,1ee19e86-0b9d-6596-be29-cdb02722aed8,SN1-1,FS01,PE10,DIABÈTE DE TYPE 2,Urgences avant SN1,SN2 avant Pôle femme,non,Endocrinologie,PEC-ttt,PEC-ttt,Item 247,C5,1,0,0
1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1eddd3e3-68f7-683e-afb1-37d1566b753d,1ee19e91-e5b2-6276-a638-9d5d9e29e54c,SN1-1,FS08,PE05,PSYCHIQUE (TROUBLE),Urgences avant SN1,SN2 avant Pôle femme,non,Psychiatrie,PEC-ttt,PEC-ttt,Item 182,C2,1,0,0
2,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1eddd3e3-68f7-683e-afb1-37d1566b753d,1ee1ea5d-5f54-6d2e-aff6-7b9b23d3a68d,SN1-1,FS09,PE04,,Urgences avant SN1,SN2 avant Pôle femme,non,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,Item 1,C1,0,0,1
3,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1eddd3e3-68f7-683e-afb1-37d1566b753d,1ee1ea60-c66d-6242-b8d0-69798fe3aa18,SN1-1,FS02,PE01,RÉACTION TUBERCULINIQUE,Urgences avant SN1,SN2 avant Pôle femme,non,Pneumologie,Diagnostic,Diagnostic,Item 159,C3,0,1,0
4,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1eddd3e3-68f7-683e-afb1-37d1566b753d,1ee20792-4870-6322-bfee-19c31d73b3b6,SN1-1,FS02,PE01,AMAIGRISSEMENT,Urgences avant SN1,SN2 avant Pôle femme,non,Médecine Interne - Immuno,Diagnostic,Diagnostic,Item 251,C2,0,1,0
5,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1eddd3e3-68f7-683e-afb1-37d1566b753d,1ee20794-c738-6ffe-872a-997468fb4d28,SN1-1,FS02,PE01,PANARIS,Urgences avant SN1,SN2 avant Pôle femme,non,Dermatologie,PEC-ttt,PEC-ttt,Item 349,C4,1,0,0
6,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1eddd3e3-68f7-683e-afb1-37d1566b753d,1ee25b4b-b7b2-6b74-ab63-fdb0a8a43266,SN1-1,FS04,PE01,DIFFICULTÉ SCOLAIRE,Urgences avant SN1,SN2 avant Pôle femme,non,Psychiatrie,PEC-ttt,PEC-ttt,Item 66,C5,1,0,0
7,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1eddd3e3-68f7-683e-afb1-37d1566b753d,1ee25b50-0f24-6458-9233-61fd0729cc16,SN1-1,FS02,PE09,MÉNORRAGIE - MÉTRORRAGIE,Urgences avant SN1,SN2 avant Pôle femme,non,Gynécologie,Diagnostic,Diagnostic,Item 35,C5,0,1,0
8,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1eddd3e3-68f7-683e-afb1-37d1566b753d,1ee5e479-1b79-67fc-85dd-d395d8046c89,SN1-1,FS09,PE08,TOXICOMANIE,Urgences avant SN1,SN2 avant Pôle femme,non,Psychiatrie,PEC-ttt,PEC-ttt,Item 77,C3,1,0,0
9,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1eddd3e3-68f7-683e-afb1-37d1566b753d,1ee5e47d-327e-6ae8-ac39-113990ff7499,SN1-1,FS02,PE10,ACNÉ VULGAIRE,Urgences avant SN1,SN2 avant Pôle femme,non,Dermatologie,PEC-ttt,PEC-ttt,Item 111,C2,1,0,0
10,1ed8105d-c256-612c-a830-91b15023c51a,1eddd3e9-0d70-67da-8db4-11b3b9d38020,1ee1f585-5e49-6898-9028-2983f2eab154,SN1-1,FS08,PE05,PROCÉDURE ADMINISTRATIVE,Urgences avant SN1,SN2 avant Pôle femme,non,Santé publique (Administratif/Social),Administratif-Social,Autre,Item 19,C6,0,0,1
11,1ed8105d-c256-612c-a830-91b15023c51a,1eddd3e9-0d70-67da-8db4-11b3b9d38020,1ee1f599-b63b-6394-9ec7-113fd3549c3c,SN1-1,FS08,PE05,PROCÉDURE ADMINISTRATIVE,Urgences avant SN1,SN2 avant Pôle femme,non,Santé publique (Administratif/Social),Administratif-Social,Autre,Item 19,C6,0,0,1
12,1ed8105d-c256-612c-a830-91b15023c51a,1eddd3e9-0d70-67da-8db4-11b3b9d38020,1ee1f5a3-fd83-6f12-891c-9dc2a29415d5,SN1-1,FS01,PE10,,Urgences avant SN1,SN2 avant Pôle femme,non,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,Item 6,C6,0,0,1
13,1ed8105d-c256-612c-a830-91b15023c51a,1eddd3e9-0d70-67da-8db4-11b3b9d38020,1ee2471c-2cf9-6bb0-990c-1ddd5838259b,SN1-1,FS09,PE02,TABAGISME,Urgences avant SN1,SN2 avant Pôle femme,non,Pneumologie,PEC-ttt,PEC-ttt,Item 75,C3,1,0,0
14,1ed8105d-c256-612c-a830-91b15023c51a,1eddd3e9-0d70-67da-8db4-11b3b9d38020,1ee24727-0ba8-65d2-9917-af60639dc3e7,SN1-1,FS09,PE04,,Urgences avant SN1,SN2 avant Pôle femme,non,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,Item 1,C1,0,0,1
15,1ed8105d-c256-612c-a830-91b15023c51a,1eddd3e9-0d70-67da-8db4-11b3b9d38020,1ee2794e-2590-6798-844e-ff1feda6fa1a,SN1-1,FS04,PE06,DÉPISTAGE ET PRÉVENTION,Urgences avant SN1,SN2 avant Pôle femme,non,Pédiatrie,PEC-ttt,PEC-ttt,Item 48,C3,1,0,0
16,1ed8105d-c256-612c-a830-91b15023c51a,1eddd3e9-0d70-67da-8db4-11b3b9d38020,1ee27954-d850-6a76-ae1e-d7c763fedc80,SN1-1,FS02,PE04,,Urgences avant SN1,SN2 avant Pôle femme,non,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,Item 1,C1,0,0,1
17,1ed8105d-c256-612c-a830-91b15023c51a,1eddd3e9-0d70-67da-8db4-11b3b9d38020,1ee29775-b959-61b0-9c0a-3fc0cda95ae3,SN1-1,FS01,PE09,DYSLIPIDÉMIE,Urgences avant SN1,SN2 avant Pôle femme,non,Cardiologie,PEC-ttt,PEC-ttt,Item 223,C4,1,0,0
18,1ed8105d-c256-612c-a830-91b15023c51a,1eddd3e9-0d70-67da-8db4-11b3b9d38020,1ee5a3f0-6f62-6c02-b761-4be2db3afabe,SN1-1,FS01,PE08,,Urgences avant SN1,SN2 avant Pôle femme,non,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,Item 1,C1,0,0,1
19,1ed8105d-c256-612c-a830-91b15023c51a,1eddd3e9-0d70-67da-8db4-11b3b9d38020,1ee5ae55-b691-6460-8833-83d4d755f708,SN1-1,FS09,PE08,,Urgences avant SN1,SN2 avant Pôle femme,non,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,Item 1,C1,0,0,1
20,1ed8105d-c258-67b0-a62a-91b15023c51a,1eddd3e0-dfb0-6bcc-bf80-d9c6d6d9cb3d,1ee2a762-7279-68f6-8a9e-0192c50c27b1,SN1-1,FS01,PE09,SÉNILITÉ (SUJET ÂGÉ FRAGILE),Urgences avant SN1,Pôle femme avant SN2,non,Endocrinologie,Diag+PEC,Diag+PEC,Item 252,C3,1,1,0
